original_image,labels
zdjecie_1,1
zdjecie_2,3
zdjecie_3,2
zdjecie_4,0
zdjecie_5,2
zdjecie_6,2
zdjecie_7,3
zdjecie_8,2
zdjecie_9,0
zdjecie_10,2
zdjecie_11,2
zdjecie_12,0
zdjecie_13,2
zdjecie_14,0
zdjecie_15,3
zdjecie_16,1
zdjecie_17,2
zdjecie_18,3
zdjecie_19,0
zdjecie_20,2
zdjecie_21,0
zdjecie_22,0
zdjecie_23,2
zdjecie_24,2
zdjecie_25,3
zdjecie_26,3
zdjecie_27,2
zdjecie_28,2
zdjecie_29,3
zdjecie_30,1
zdjecie_31,3
zdjecie_32,2
zdjecie_33,3
zdjecie_34,0
zdjecie_35,2
zdjecie_36,0
zdjecie_37,0
zdjecie_38,2
zdjecie_39,0
zdjecie_40,1
zdjecie_41,0
zdjecie_42,0
zdjecie_43,1
zdjecie_44,2
zdjecie_45,1
zdjecie_46,1
zdjecie_47,0
zdjecie_48,1
zdjecie_49,2
zdjecie_50,1
zdjecie_51,1
zdjecie_52,2
zdjecie_53,0
zdjecie_54,0
zdjecie_55,2
zdjecie_56,0
zdjecie_57,3
zdjecie_58,2
zdjecie_59,3
zdjecie_60,0
zdjecie_61,2
zdjecie_62,2
zdjecie_63,2
zdjecie_64,0
zdjecie_65,1
zdjecie_66,2
zdjecie_67,3
zdjecie_68,1
zdjecie_69,1
zdjecie_70,2
zdjecie_71,1
zdjecie_72,0
zdjecie_73,2
zdjecie_74,2
zdjecie_75,0
zdjecie_76,2
zdjecie_77,0
zdjecie_78,2
zdjecie_79,0
zdjecie_80,3
zdjecie_81,2
zdjecie_82,4
zdjecie_83,3
zdjecie_84,0
zdjecie_85,1
zdjecie_86,0
zdjecie_87,0
zdjecie_88,2
zdjecie_89,2
zdjecie_90,2
zdjecie_91,0
zdjecie_92,4
zdjecie_93,2
zdjecie_94,0
zdjecie_95,2
zdjecie_96,2
zdjecie_97,3
zdjecie_98,0
zdjecie_99,0
zdjecie_100,0
zdjecie_101,2
zdjecie_102,0
zdjecie_103,2
zdjecie_104,1
zdjecie_105,2
zdjecie_106,2
zdjecie_107,0
zdjecie_108,2
zdjecie_109,2
zdjecie_110,1
zdjecie_111,0
zdjecie_112,3
zdjecie_113,0
zdjecie_114,3
zdjecie_115,2
zdjecie_116,0
zdjecie_117,2
zdjecie_118,2
zdjecie_119,0
zdjecie_120,0
zdjecie_121,3
zdjecie_122,0
zdjecie_123,4
zdjecie_124,0
zdjecie_125,2
zdjecie_126,1
zdjecie_127,2
zdjecie_128,2
zdjecie_129,1
zdjecie_130,2
zdjecie_131,2
zdjecie_132,2
zdjecie_133,4
zdjecie_134,2
zdjecie_135,0
zdjecie_136,0
zdjecie_137,3
zdjecie_138,2
zdjecie_139,4
zdjecie_140,2
zdjecie_141,3
zdjecie_142,1
zdjecie_143,0
zdjecie_144,1
zdjecie_145,0
zdjecie_146,2
zdjecie_147,1
zdjecie_148,0
zdjecie_149,0
zdjecie_150,1
zdjecie_151,2
zdjecie_152,1
zdjecie_153,0
zdjecie_154,0
zdjecie_155,3
zdjecie_156,2
zdjecie_157,0
zdjecie_158,1
zdjecie_159,1
zdjecie_160,1
zdjecie_161,2
zdjecie_162,0
zdjecie_163,2
zdjecie_164,1
zdjecie_165,4
zdjecie_166,3
zdjecie_167,2
zdjecie_168,1
zdjecie_169,3
zdjecie_170,3
zdjecie_171,1
zdjecie_172,3
zdjecie_173,3
zdjecie_174,2
zdjecie_175,0
zdjecie_176,1
zdjecie_177,2
zdjecie_178,2
zdjecie_179,2
zdjecie_180,2
zdjecie_181,3
zdjecie_182,3
zdjecie_183,3
zdjecie_184,4
zdjecie_185,3
zdjecie_186,0
zdjecie_187,2
zdjecie_188,2
zdjecie_189,0
zdjecie_190,0
zdjecie_191,0
zdjecie_192,2
zdjecie_193,0
zdjecie_194,3
zdjecie_195,3
zdjecie_196,3
zdjecie_197,3
zdjecie_198,1
zdjecie_199,2
zdjecie_200,3
zdjecie_201,2
zdjecie_202,3
zdjecie_203,1
zdjecie_204,2
zdjecie_205,1
zdjecie_206,1
zdjecie_207,2
zdjecie_208,3
zdjecie_209,2
zdjecie_210,3
zdjecie_211,4
zdjecie_212,2
zdjecie_213,3
zdjecie_214,1
zdjecie_215,0
zdjecie_216,0
zdjecie_217,2
zdjecie_218,0
zdjecie_219,1
zdjecie_220,1
zdjecie_221,1
zdjecie_222,0
zdjecie_223,0
zdjecie_224,2
zdjecie_225,1
zdjecie_226,3
zdjecie_227,1
zdjecie_228,3
zdjecie_229,2
zdjecie_230,3
zdjecie_231,1
zdjecie_232,0
zdjecie_233,1
zdjecie_234,0
zdjecie_235,0
zdjecie_236,3
zdjecie_237,0
zdjecie_238,3
zdjecie_239,3
zdjecie_240,1
zdjecie_241,3
zdjecie_242,0
zdjecie_243,2
zdjecie_244,3
zdjecie_245,3
zdjecie_246,0
zdjecie_247,2
zdjecie_248,4
zdjecie_249,0
zdjecie_250,0
zdjecie_251,0
zdjecie_252,3
zdjecie_253,2
zdjecie_254,1
zdjecie_255,2
zdjecie_256,3
zdjecie_257,4
zdjecie_258,1
zdjecie_259,2
zdjecie_260,0
zdjecie_261,3
zdjecie_262,0
zdjecie_263,2
zdjecie_264,0
zdjecie_265,1
zdjecie_266,4
zdjecie_267,3
zdjecie_268,0
zdjecie_269,2
zdjecie_270,2
zdjecie_271,0
zdjecie_272,0
zdjecie_273,2
zdjecie_274,3
zdjecie_275,0
zdjecie_276,2
zdjecie_277,1
zdjecie_278,3
zdjecie_279,0
zdjecie_280,1
zdjecie_281,3
zdjecie_282,1
zdjecie_283,2
zdjecie_284,3
zdjecie_285,0
zdjecie_286,0
zdjecie_287,0
zdjecie_288,0
zdjecie_289,0
zdjecie_290,3
zdjecie_291,2
zdjecie_292,4
zdjecie_293,3
zdjecie_294,2
zdjecie_295,2
zdjecie_296,1
zdjecie_297,1
zdjecie_298,3
zdjecie_299,2
zdjecie_300,0
zdjecie_301,1
zdjecie_302,3
zdjecie_303,2
zdjecie_304,0
zdjecie_305,2
zdjecie_306,0
zdjecie_307,2
zdjecie_308,2
zdjecie_309,0
zdjecie_310,0
zdjecie_311,2
zdjecie_312,0
zdjecie_313,0
zdjecie_314,3
zdjecie_315,1
zdjecie_316,3
zdjecie_317,1
zdjecie_318,1
zdjecie_319,2
zdjecie_320,2
zdjecie_321,0
zdjecie_322,1
zdjecie_323,3
zdjecie_324,0
zdjecie_325,1
zdjecie_326,0
zdjecie_327,0
zdjecie_328,3
zdjecie_329,0
zdjecie_330,2
zdjecie_331,4
zdjecie_332,2
zdjecie_333,2
zdjecie_334,3
zdjecie_335,0
zdjecie_336,0
zdjecie_337,2
zdjecie_338,2
zdjecie_339,2
zdjecie_340,0
zdjecie_341,2
zdjecie_342,0
zdjecie_343,3
zdjecie_344,2
zdjecie_345,1
zdjecie_346,0
zdjecie_347,2
zdjecie_348,2
zdjecie_349,3
zdjecie_350,0
zdjecie_351,0
zdjecie_352,0
zdjecie_353,0
zdjecie_354,2
zdjecie_355,2
zdjecie_356,1
zdjecie_357,0
zdjecie_358,2
zdjecie_359,0
zdjecie_360,3
zdjecie_361,3
zdjecie_362,0
zdjecie_363,3
zdjecie_364,0
zdjecie_365,0
zdjecie_366,0
zdjecie_367,3
